Age,Income,Color,Car_Type,Mileage,Purchased
25,40000,Red,SUV,65000,0
45,90000,Black,Sedan,20000,1
32,55000,Blue,SUV,43000,1
29,50000,Red,Truck,80000,0
50,110000,Black,SUV,18000,1
41,70000,Green,Sedan,30000,0
37,60000,Blue,Truck,75000,0
28,48000,Green,SUV,57000,1
55,120000,Black,Sedan,15000,1
31,52000,Red,SUV,62000,0
42,95201,Red,Sedan,38912,1
35,122486,Red,SUV,28044,1
43,30689,Blue,SUV,54331,0
52,85122,Blue,SUV,79390,0
34,51444,Red,Truck,5000,1
34,55982,Green,Sedan,49322,1
53,53061,Red,SUV,42570,1
45,45524,Black,SUV,62972,1
32,70846,Blue,SUV,51731,1
42,46441,Green,Sedan,28049,1
32,77005,Blue,Sedan,38671,1
32,68105,Green,SUV,26968,1
39,62869,Black,SUV,72901,1
20,44315,Green,SUV,47022,1
20,53494,Red,Sedan,93149,0
31,90462,Green,Sedan,45011,1
27,83400,Black,SUV,29117,1
40,42372,Green,SUV,9358,1
28,72256,Black,SUV,5000,1
23,90350,Blue,Truck,7630,1
52,23174,Black,SUV,53054,0
35,84578,Blue,Sedan,58982,1
37,51112,Red,Sedan,7702,1
22,85334,Red,SUV,68461,1
31,48319,Red,SUV,34647,1
38,20000,Red,SUV,50101,0
25,24335,Green,Sedan,86058,0
41,70834,Red,Sedan,68505,1
31,76707,Green,Sedan,39911,1
34,44405,Black,Sedan,24632,1
31,87220,Red,SUV,5000,1
56,23393,Blue,Truck,28854,0
37,67666,Blue,Sedan,41319,1
26,35894,Black,SUV,22277,0
45,51411,Black,Truck,43279,1
24,70815,Blue,Sedan,48385,1
39,45623,Red,Sedan,40982,1
20,58828,Green,Sedan,30551,1
23,97424,Green,Truck,50638,1
39,53491,Blue,Sedan,57343,0
44,92690,Red,SUV,19745,1
39,38150,Blue,SUV,81119,1
36,84201,Red,Truck,44080,1
34,109503,Red,SUV,46962,1
22,20000,Red,SUV,63877,0
30,47386,Black,SUV,52222,1
32,85513,Green,SUV,69886,1
48,63865,Blue,Sedan,53545,1
40,79799,Blue,Truck,31472,1
20,52739,Black,SUV,55370,1
40,71902,Black,SUV,18436,1
33,65179,Black,SUV,49163,1
30,101905,Green,Truck,45684,1
43,76560,Red,Sedan,41393,1
47,78868,Green,SUV,43346,1
46,58070,Black,Truck,5000,0
28,55968,Black,Truck,33036,1
34,57496,Blue,Truck,48778,1
40,80445,Black,Truck,50422,1
47,57817,Green,SUV,21284,1
32,77541,Green,Sedan,77556,1
35,127092,Black,SUV,25246,1
26,93673,Red,Truck,70287,1
25,60452,Black,Sedan,56981,1
45,102833,Green,Sedan,30643,1
51,58175,Red,Sedan,90060,1
36,20000,Blue,SUV,17211,1
47,41525,Blue,Sedan,69053,0
40,20000,Blue,Truck,71051,0
30,59745,Red,Truck,30045,1
40,70011,Blue,SUV,80666,1
52,116020,Green,SUV,40364,1
36,78572,Red,SUV,53583,1
53,63419,Red,Sedan,52887,1
20,92515,Green,Truck,43204,1
45,20000,Red,SUV,66394,0
38,76038,Green,Sedan,65969,1
34,90891,Black,Truck,5000,1
38,28469,Red,Sedan,78504,1
20,101239,Green,Sedan,5707,1
35,78893,Black,Sedan,71835,1
40,57975,Black,Sedan,74145,1
52,87059,Black,SUV,19731,1
32,132511,Black,Sedan,36419,1
29,74546,Red,Sedan,19369,1
32,76388,Black,Truck,41226,1
46,56752,Green,Sedan,38941,1
40,45916,Red,Sedan,65630,1
31,92541,Blue,SUV,78650,1
42,45743,Black,SUV,80745,1
38,71485,Blue,SUV,32706,1
47,56245,Red,SUV,41366,1
30,82791,Green,Sedan,5193,1
33,78759,Black,Truck,26726,1
33,98291,Red,SUV,70174,1
22,55347,Red,SUV,86141,1
40,62011,Red,Truck,16213,1
39,42339,Black,SUV,31962,1
37,57170,Black,Sedan,45852,1
34,79970,Green,Sedan,53374,1
22,90506,Black,Sedan,26634,1
33,43910,Red,SUV,56905,1
33,93631,Blue,SUV,34873,1
29,107118,Blue,Sedan,46145,1
35,80972,Red,Sedan,59904,1
41,121580,Red,SUV,46657,1
56,48027,Red,Sedan,35792,1
39,34960,Blue,SUV,43810,1
39,20140,Blue,Sedan,44331,0
36,111015,Black,SUV,37421,1
20,87658,Green,Truck,40149,1
37,67957,Green,SUV,85725,1
37,77269,Black,SUV,60263,1
