IQ,Major,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
107,Finance,6.61,6.28,8,No,8,8,4,No
97,Restaurant,5.52,5.37,8,No,7,8,0,No
109,Engineering,5.36,5.83,9,No,3,1,1,No
122,Pharmacy,5.47,5.75,6,Yes,1,6,1,No
96,Finance,7.91,7.69,7,No,8,10,2,No
96,Education,5.26,5.32,7,No,5,8,0,No
123,Marketing,6.68,6.58,5,No,7,8,2,Yes
111,Finance,8.77,8.76,7,No,3,1,2,Yes
92,Engineering,6.47,6.33,9,No,7,8,5,No
108,Pharmacy,8.82,8.6,4,No,5,9,1,No
93,Restaurant,8.73,8.9,2,Yes,5,6,0,No
93,Engineering,6.23,6.51,8,No,5,7,4,No
103,Engineering,8.64,9.01,7,Yes,8,6,1,No
71,Marketing,8.74,8.4,6,No,0,5,2,No
74,Design,6.99,7.31,7,No,0,1,2,No
91,Pharmacy,6.05,5.8,3,No,4,2,3,No
84,Business,7.61,7.54,6,No,0,10,0,No
104,Engineering,9.61,10.01,10,Yes,9,2,4,No
86,Design,8.2,8.15,7,No,8,9,4,Yes
78,Business,5.86,5.56,7,Yes,3,6,2,No
121,Pharmacy,8.41,8.07,5,Yes,1,3,3,Yes
96,Computer Science,7.14,7.11,3,Yes,2,3,3,No
101,Education,7.96,8.22,2,Yes,8,10,0,No
78,Design,8.67,9.17,7,Yes,10,10,2,Yes
91,Psychology,7.57,7.86,4,Yes,7,2,2,No
101,Computer Science,9.07,9.45,2,No,2,7,2,No
82,Education,8.61,8.86,8,No,7,1,0,No
105,Marketing,8.08,8.48,2,No,3,1,4,No
90,Finance,5.75,5.33,6,Yes,5,10,1,No
95,Restaurant,9.18,9.61,4,Yes,3,3,3,No
90,Psychology,9.68,9.58,9,Yes,10,1,4,No
127,Marketing,5.68,6.1,5,No,4,3,1,No
99,Pharmacy,7.44,7.02,4,No,9,9,4,No
84,Marketing,6.29,6.51,8,No,8,7,4,No
112,Finance,8.77,9.01,3,Yes,1,9,4,Yes
81,Pharmacy,8.61,9.11,9,Yes,8,7,4,No
103,Psychology,5.7,5.97,8,Yes,2,9,2,No
70,Finance,9.39,9.27,8,No,4,3,4,No
80,Business,5.9,5.96,10,Yes,6,7,1,No
102,Restaurant,8.99,8.86,5,No,1,6,1,No
111,Psychology,7.28,6.98,1,No,3,2,3,No
102,Business,6.64,6.39,10,No,0,6,5,No
98,Education,5.79,5.51,9,No,10,3,0,No
95,Psychology,5.84,5.89,2,Yes,2,2,1,No
77,Education,8.31,8.72,1,Yes,5,5,1,No
89,Pharmacy,7.75,8.16,6,Yes,1,5,1,No
93,Business,5.61,5.16,1,Yes,7,2,1,No
115,Restaurant,5.56,5.14,10,Yes,6,3,0,No
105,Finance,5.36,5.11,10,No,2,8,0,No
73,Engineering,8.72,8.48,10,Yes,0,5,5,No
104,Marketing,8.56,8.15,7,No,9,8,4,Yes
94,Computer Science,5.29,5.18,7,Yes,3,10,5,No
89,Restaurant,7.8,7.89,1,Yes,3,4,1,No
109,Business,5.42,5.5,10,No,10,4,1,No
115,Engineering,9.52,9.56,5,No,4,6,3,Yes
113,Restaurant,9.54,9.38,3,No,2,10,3,Yes
87,Business,8.49,8.7,2,No,10,5,3,No
95,Design,9.63,9.96,5,No,1,5,3,No
104,Design,9.06,8.91,5,No,1,9,4,Yes
114,Education,9.14,8.73,2,Yes,7,6,2,Yes
92,Restaurant,7.85,7.65,6,No,6,3,3,No
97,Design,6.53,6.17,7,No,0,4,3,No
83,Business,6.09,6.06,1,No,8,9,0,No
82,Education,6.64,6.3,3,No,2,6,5,No
112,Business,8.14,8.1,4,No,2,8,1,Yes
120,Education,5.86,5.58,2,No,0,7,4,No
98,Restaurant,6.29,6.53,10,Yes,10,1,1,No
115,Engineering,7.34,6.87,5,Yes,3,1,2,No
105,Finance,6.17,6.22,4,No,9,10,4,No
90,Psychology,7.94,7.61,2,No,10,7,2,No
105,Engineering,9.62,9.12,1,Yes,1,2,1,No
123,Pharmacy,8.74,9.11,8,No,2,9,0,Yes
99,Business,8.33,8.5,2,No,10,10,3,Yes
123,Pharmacy,7.91,7.51,4,No,0,9,1,No
60,Engineering,7.44,7.6,10,Yes,2,2,4,No
112,Education,5.93,6.04,5,No,3,9,3,Yes
101,Psychology,9.47,9.44,2,No,5,9,4,Yes
95,Psychology,6.24,6.16,10,No,2,10,2,No
101,Computer Science,5.46,5.85,9,Yes,10,6,4,No
70,Psychology,8.75,8.5,2,No,5,5,0,No
96,Finance,5.88,5.78,6,No,1,10,2,No
105,Psychology,6.86,6.69,7,No,10,2,5,No
122,Engineering,5.14,5.41,6,No,7,6,5,No
92,Computer Science,5.69,6.11,4,No,4,9,1,No
87,Engineering,5.87,6.22,1,No,0,3,3,No
92,Engineering,5.27,5.57,2,No,5,3,3,No
113,Marketing,8.28,8.77,10,No,2,4,0,No
104,Computer Science,9.19,9.39,10,Yes,3,10,4,Yes
92,Engineering,6.87,7.12,6,No,9,4,1,No
107,Marketing,9.37,9.85,8,Yes,7,1,5,No
