type,size,color,poisonous
apple,small,red,1
berry,small,blue,0
cherry,small,red,1
mango,large,yellow,0
apple,medium,green,0
berry,small,red,1
cherry,medium,green,0
mango,large,yellow,0
apple,large,green,0
berry,small,blue,0
cherry,small,red,1
mango,large,yellow,0
apple,medium,green,0
berry,small,blue,0
cherry,medium,red,1
mango,large,yellow,0
apple,large,green,0
berry,small,blue,0
cherry,small,red,1
mango,large,yellow,0
cherry,medium,blue,0
mango,large,red,1
apple,small,red,1
cherry,small,red,1
cherry,small,green,0
mango,small,blue,0
apple,small,red,1
apple,small,blue,0
cherry,small,green,0
berry,medium,red,1
cherry,large,yellow,0
cherry,small,green,0
cherry,medium,yellow,0
cherry,medium,blue,0
mango,large,blue,0
apple,small,green,0
mango,large,blue,0
mango,small,yellow,0
mango,medium,red,1
cherry,medium,red,1
berry,medium,red,1
apple,medium,green,0
berry,large,blue,0
mango,small,yellow,0
mango,small,blue,0
berry,large,blue,0
berry,small,blue,0
berry,medium,red,1
mango,small,yellow,0
mango,medium,yellow,0
apple,large,blue,0
apple,small,red,1
mango,large,red,1
berry,small,yellow,0
berry,medium,red,1
apple,large,red,1
mango,small,red,1
apple,medium,green,0
apple,large,blue,0
cherry,large,yellow,0
cherry,small,yellow,0
cherry,small,green,0
berry,small,blue,0
mango,medium,yellow,0
mango,small,red,1
mango,large,yellow,0
mango,large,red,1
cherry,small,green,0
berry,small,red,1
berry,large,yellow,0
cherry,medium,yellow,0
berry,small,yellow,0
cherry,small,green,0
mango,large,green,0
cherry,small,blue,0
mango,medium,yellow,0
mango,large,red,1
apple,small,green,0
cherry,large,yellow,0
apple,small,yellow,0
cherry,small,green,0
cherry,small,blue,0
apple,medium,green,0
apple,medium,green,0
cherry,large,red,1
berry,small,red,1
mango,small,blue,0
apple,medium,yellow,0
mango,small,green,0
berry,medium,blue,0
berry,small,red,1
berry,large,green,0
apple,small,yellow,0
berry,small,red,1
apple,medium,red,1
berry,small,red,1
mango,small,blue,0
mango,medium,yellow,0
cherry,large,green,0
mango,large,blue,0
cherry,medium,blue,0
mango,medium,blue,0
apple,medium,red,1
mango,medium,yellow,0
cherry,medium,blue,0
cherry,large,green,0
berry,large,yellow,0
apple,medium,green,0
mango,small,yellow,0
berry,medium,green,0
mango,small,red,1
mango,medium,blue,0
berry,medium,green,0
berry,large,yellow,0
berry,small,blue,0
berry,small,blue,0
berry,large,yellow,0
mango,large,green,0
berry,large,red,1
apple,large,red,1
cherry,small,green,0
berry,small,blue,0
berry,medium,blue,0
mango,medium,blue,0
berry,large,blue,0
berry,large,green,0
berry,large,blue,0
mango,medium,yellow,0
berry,medium,blue,0
cherry,medium,red,1
mango,medium,blue,0
cherry,medium,green,0
mango,medium,red,1
berry,medium,green,0
cherry,large,green,0
mango,large,red,1
apple,large,green,0
berry,large,green,0
mango,medium,blue,0
apple,small,yellow,0
mango,medium,green,0
apple,small,green,0
berry,large,green,0
cherry,medium,blue,0
apple,large,yellow,0
mango,medium,red,1
berry,large,blue,0
apple,small,blue,0
mango,small,yellow,0
mango,small,yellow,0
mango,medium,blue,0
apple,small,red,1
apple,medium,blue,0
apple,small,yellow,0
cherry,small,red,1
apple,medium,yellow,0
apple,medium,red,1
apple,small,green,0
cherry,medium,yellow,0
apple,small,yellow,0
mango,medium,blue,0
apple,large,yellow,0
mango,large,yellow,0
mango,large,green,0
mango,large,yellow,0
cherry,large,green,0
cherry,small,green,0
cherry,large,green,0
apple,large,green,0
mango,large,red,1
cherry,large,blue,0
cherry,medium,red,1
apple,small,yellow,0
cherry,large,red,1
apple,large,red,1
berry,large,yellow,0
cherry,small,yellow,0
berry,medium,yellow,0
apple,small,red,1
mango,medium,red,1
cherry,large,yellow,0
apple,large,blue,0
mango,small,blue,0
mango,small,green,0
berry,medium,yellow,0
apple,medium,green,0
mango,small,blue,0
cherry,medium,green,0
cherry,small,yellow,0
berry,medium,yellow,0
mango,small,yellow,0
apple,small,red,1
