StudentID,School Year,Gpa_Score,Fitness_Score,English_Level,Major,Part_Time_Job
1,2,2.2827075656634768,7.881129579093638,3.0,Marketing,Yes
2,2,2.9415812963544776,9.218823312417056,3.0,Marketing,No
3,1,2.8335796482641538,8.722246073569288,4.0,IT,No
4,1,3.556733992211128,8.424016058306469,3.0,Business,No
5,2,2.390075970139218,7.8138930392359915,3.0,Marketing,Yes
6,1,2.412145620891685,9.415058230372273,1.0,Marketing,Yes
7,2,2.337531545467294,8.140134600841566,2.0,Business,Yes
8,2,2.228625487738217,7.704128118451309,4.0,Marketing,Yes
9,1,3.0077192419737067,8.721550491532344,4.0,IT,No
10,1,3.357279237402794,8.2415742051715,3.0,Business,No
11,2,2.9195759849731466,8.811087639374767,3.0,Marketing,No
12,1,3.064479328474232,8.205968130502733,4.0,IT,No
13,1,2.964201926148414,8.611376725320346,4.0,IT,No
14,2,2.02954517023986,8.134560835991069,3.0,Business,Yes
15,1,3.372296870850434,7.872470702884281,2.0,IT,No
16,1,3.6389684537930482,8.253193760912797,3.0,Business,No
17,2,2.574362791235533,7.964178688197061,1.0,IT,Yes
18,1,3.001577909837315,8.767369488010218,4.0,IT,No
19,1,3.580847867598108,7.759033684134258,2.0,IT,No
20,2,2.7594560910096666,8.865194513529792,1.0,IT,Yes
21,1,3.40615755571506,8.669563028705616,2.0,Business,No
22,1,3.4216307780701127,9.280133039938312,5.0,IT,No
23,1,2.4019550849649827,9.202070005336106,2.0,Marketing,Yes
24,1,3.3566654387959636,7.5070057863873885,1.0,IT,No
25,1,1.8094236899599774,9.203384095393416,1.0,Business,No
26,1,3.5752394548019257,9.394455706262251,5.0,IT,No
27,1,2.377958191061944,9.76093680242144,1.0,Marketing,Yes
28,2,2.4270934460610327,8.02127315759762,2.0,Business,Yes
29,2,2.2447215873492654,8.01298611689117,3.0,Marketing,Yes
30,2,2.840275327070549,8.992084863576252,3.0,Marketing,No
31,1,1.8163067699441078,9.738673198555906,2.0,Business,No
32,2,2.415864547054164,8.683293341186088,2.0,Business,Yes
33,1,3.6381000073569605,8.023944552863217,3.0,Business,No
34,2,2.3659916316675957,8.690392960324399,3.0,Business,Yes
35,2,2.1979572466574644,7.662685454614732,3.0,Marketing,Yes
36,1,3.665403119819407,7.685201659480364,3.0,Business,No
37,1,1.5225295594253654,9.614353236939092,1.0,Business,No
38,2,2.2752946865175803,7.588973066897813,3.0,Marketing,Yes
39,2,2.552192730431147,8.739704158333183,1.0,IT,Yes
40,2,2.835908938639729,8.72841337095852,3.0,Marketing,No
41,1,1.3680814659791436,9.611401959981398,1.0,Business,No
42,2,2.579523350248103,8.497294894036136,1.0,IT,Yes
43,1,2.3992714583023456,9.333149840529156,1.0,Marketing,Yes
44,1,1.7425015040601146,9.5740397206425,1.0,Business,No
45,1,2.330620970969737,9.610893505695087,1.0,Marketing,Yes
46,1,3.333125396850583,8.033419630440008,3.0,Business,No
47,2,2.8300844248464667,8.2245466393681,1.0,IT,Yes
48,2,3.1437620754319946,8.558222236349758,2.0,Marketing,No
49,2,2.162717778293338,8.159188668137388,3.0,Marketing,Yes
50,1,2.6170207931321543,8.324575005748043,5.0,IT,No
51,2,2.741001773702622,8.46417918532073,2.0,Business,Yes
52,1,3.5220461975685824,9.349848829687604,5.0,IT,No
53,2,3.08094138023755,8.722955511681304,3.0,Marketing,No
54,2,2.4752556543942106,8.215642633380805,2.0,IT,Yes
55,1,2.8982834828795405,8.61568107841028,5.0,IT,No
56,2,3.062003113143547,8.539787461680026,2.0,Marketing,No
57,2,2.6788652168298976,8.0618873612725,1.0,IT,Yes
58,1,3.430824278903018,7.66039490764181,1.0,IT,No
59,1,3.495051772199481,7.600441195492117,2.0,IT,No
60,1,2.198471435389885,9.065538794047907,1.0,Marketing,Yes
61,2,3.1275180873185784,8.7191568002492,3.0,Marketing,No
62,1,3.3591509927197243,7.384970644860917,1.0,IT,No
63,2,2.6992956007989664,8.831936906858566,1.0,IT,Yes
64,1,2.1643782024708575,9.026849658896078,1.0,Marketing,Yes
